Price,Close,High,Low,Open,Volume
Ticker,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS
Date,,,,,
2011-03-11,32.98374938964844,33.1687682870091,32.79873049228778,32.79873049228778,6148250
2011-03-14,33.23603439331055,33.33695396018459,32.849178715188195,32.849178715188195,4743614
2011-03-15,32.88283157348633,33.051030165452914,32.647354001000984,32.916472204415406,7316083
2011-03-16,33.16875076293945,33.30330864556199,32.96691165766757,32.98373196332991,3548194
2011-03-17,33.084651947021484,33.151930889209325,32.89963314500135,32.89963314500135,4312518
2011-03-18,32.95009994506836,33.30331502494682,32.83236006421653,33.1351164987805,7614611
2011-03-21,32.76509094238281,33.00056849341161,32.71463000058716,32.8996488911595,3473055
2011-03-22,32.74826431274414,32.93328316763445,32.56324545785383,32.93328316763445,3536038
2011-03-23,32.78190612792969,33.084662605983766,32.66416623016486,32.74826550532864,5655111
2011-03-24,32.95009994506836,33.03419920815152,32.68098184693455,32.96691797261418,7807585
2011-03-25,33.01737976074219,33.101479026019625,32.8155406115409,33.03420007006539,8602591
2011-03-28,33.33695983886719,33.43787942353752,32.93328378152468,32.983742433190436,11509824
2011-03-29,33.57244110107422,33.75745998009187,33.219223655920345,33.33696356475132,8985339
2011-03-30,33.97612380981445,34.093861452293616,33.58926568965316,33.639726634720816,4832583
2011-03-31,34.27886962890625,34.59844638898085,33.740633404636355,33.976113178591085,15647437
2011-04-01,35.271236419677734,35.4898958584,34.09384681242027,34.09384681242027,22114974
2011-04-04,35.62446594238281,36.078603001612606,35.05259125096174,35.05259125096174,10060811
2011-04-05,35.38899230957031,35.74220980787721,35.035774811263416,35.48991192070648,7752278
2011-04-06,35.33851623535156,35.9608516698277,35.20395833233218,35.32169820847796,5371783
2011-04-07,35.30488204956055,35.893576936800464,35.11986320016027,35.33852038859961,5888794
2011-04-08,35.28806686401367,35.47308574028297,34.8507501422878,35.33852552056938,3282029
2011-04-11,35.06940841674805,35.30488594133373,34.85074892286645,35.002127168575896,2761151
2011-04-13,35.40580368041992,35.59082025919955,34.665728239946084,34.68254855110937,5725109
2011-04-15,35.33851623535156,35.557175679431104,35.20395833233218,35.33851623535156,2726721
2011-04-18,35.052581787109375,35.70855558784882,34.934841905367556,35.321699887277454,3846832
2011-04-19,34.8002815246582,35.23759812120856,34.64890331698187,35.23759812120856,2130742
2011-04-20,35.06940841674805,35.23760697450052,34.68255036511397,35.23760697450052,3816903
2011-04-21,35.18714141845703,35.321701615795234,34.91802330511928,35.06940381229209,3804886
2011-04-25,35.17033386230469,35.45627238916583,34.98531723104809,34.98531723104809,1583736
2011-04-26,35.08622741699219,35.37216588560834,34.68255132349922,35.32170722942385,4390914
2011-04-27,35.103050231933594,35.32170974744526,34.90121331146802,35.15351117305436,2846797
2011-04-28,35.00212860107422,35.153509134318014,34.86757066190089,35.03576922653707,5158203
2011-04-29,35.17033386230469,35.48991302103401,34.86757730084893,35.002135265642714,3615042
2011-05-02,35.79266357421875,35.927223797764306,34.9853113583018,34.9853113583018,5731198
2011-05-03,34.98530960083008,35.82630240072128,34.8507493840441,35.658103840743046,3804669
2011-05-04,35.08622741699219,35.18714701070019,34.49753244859106,34.86757019840737,4044546
2011-05-05,34.262046813964844,35.08621911852842,33.908829460198035,34.985301830028014,5204752
2011-05-06,34.68254852294922,34.86756738291746,34.27887246205232,34.346151425312,2973311
2011-05-09,34.54799270629883,34.91802816749478,34.480713738930376,34.69937095321258,3424009
2011-05-10,34.43025588989258,34.884392952697006,34.312518256774545,34.49753486329419,1276536
2011-05-11,35.03575897216797,35.153498845488464,34.362964910538594,34.362964910538594,5173641
2011-05-12,34.11066818237305,35.03576004545268,34.04338923041676,35.03576004545268,2199955
2011-05-13,34.0938606262207,34.547997714129394,33.99294101986996,34.0770403116057,3389298
2011-05-16,34.24523162841797,34.37979183544575,34.07703308063735,34.177952665573486,2643860
2011-05-17,34.14431381225586,34.4807109027672,34.0938528798759,34.245231114338246,2042475
2011-05-18,34.0938606262207,34.61527669125012,34.00976133448497,34.245238895077165,3314783
2011-05-19,33.25284957885742,34.29568114034717,33.08465108709056,34.11066234313601,2532955
2011-05-20,33.97612380981445,34.17796074606702,33.08466992701271,33.185589535808674,1959647
2011-05-23,33.50516128540039,33.74063881578112,33.30332209859462,33.74063881578112,1694918
2011-05-24,33.23603439331055,34.11066759776769,33.10147649170409,33.622892352771295,9876185
2011-05-25,32.6473503112793,33.454704830277386,32.44551339253414,33.30332428954458,5753045
2011-05-26,32.14276123046875,32.933295599162925,31.957742305738243,32.79873534420454,4935316
2011-05-27,32.849178314208984,32.950097879851135,32.193204559542586,32.193204559542586,4500032
2011-05-30,33.303321838378906,33.387421118667696,32.68098853304523,32.96692471722373,8167114
2011-05-31,33.992923736572266,34.11066359767458,33.30330943869756,33.37059066294925,7467651
2011-06-01,33.858375549316406,34.06021471721107,33.58925741923645,33.82473492755437,1794961
2011-06-02,33.38742446899414,34.043400746143135,33.303325180266235,33.63972461651705,4461069
2011-06-03,33.97612380981445,34.278880354862984,33.38742647206124,33.38742647206124,5649415
2011-06-06,34.14431381225586,34.2284130848837,33.538798593067696,33.908834023826905,4910297
2011-06-07,34.12749481201172,34.211594087869095,33.925655637418465,34.02657522471509,6516069
2011-06-08,34.0938606262207,34.14432157006572,33.75746345927776,33.824742436398495,14162904
2011-06-09,34.14431381225586,34.26205142513157,33.94247464541355,33.976115267000196,6989160
2011-06-10,34.04339599609375,34.24523289207503,33.80791847677947,34.14431558475384,7661567
2011-06-13,34.497535705566406,34.64891625109002,33.824741392445375,33.97612193796899,2849421
2011-06-14,34.884395599365234,34.98531520779398,34.36297952359951,34.36297952359951,4458752
2011-06-15,34.24523162841797,34.934846130586266,34.093853391683176,34.90120778983343,2533103
2011-06-16,34.312522888183594,34.48072148506019,33.92566474656373,34.17796264187863,2472762
2011-06-17,34.54799270629883,34.64891229802098,34.16113465158705,34.1779549637639,2524363
2011-06-20,34.295684814453125,34.88437959870416,33.320132088891285,34.32932314760735,6194464
2011-06-21,34.0938606262207,34.463898422393655,33.77428377389277,34.245238895077165,5126564
2011-06-22,34.41343307495117,34.447073699876476,33.992936670079885,34.09385626351679,2408781
2011-06-23,34.39661407470703,34.581630662566376,34.2452335481473,34.329332826752065,3746535
2011-06-24,34.86756134033203,35.035759860001654,34.24522590501904,34.31250713795763,5675164
2011-06-27,36.448638916015625,36.78503604456315,34.39661551934014,34.39661551934014,29869389
2011-06-28,36.7009391784668,36.97005507394962,36.364542027774085,36.80185649860326,13872282
2011-06-29,37.03733444213867,37.17189238302447,36.633656056803154,36.76821627902802,13356359
2011-06-30,36.83548355102539,37.50827760446232,36.347708318551284,37.00368206438463,30432762
2011-07-01,37.08779525756836,37.25599383413168,36.80185676487504,37.0036959692867,23953730
2011-07-04,37.15506362915039,37.47464037715666,36.902765836302514,37.121425292240474,5307022
2011-07-05,36.86912536621094,37.12142314446131,36.3308891934081,37.003683268742435,10665833
2011-07-06,36.68410873413086,36.90276590916197,36.51591020523352,36.75138768942208,3270036
2011-07-07,36.98686981201172,37.10460970954065,36.48227416204004,36.83549157328798,5856910
2011-07-08,36.73457717895508,37.255993213888594,36.61683954612439,36.751397492599224,12625687
2011-07-11,36.33089828491211,36.6000164386581,35.759021352699754,36.51591715819617,2848918
2011-07-12,36.3981819152832,36.667300103500736,35.84312522433343,36.229983332814655,2954427
2011-07-13,37.07096862792969,37.44100634586201,36.39817443629916,36.43181505841621,3819442
2011-07-14,36.7009391784668,37.10461530303021,36.43182100164479,36.8354971262082,10479376
2011-07-15,37.08779525756836,37.74376924989746,36.448641579163436,36.448641579163436,8242815
2011-07-18,36.785037994384766,37.30645174620017,36.684118394203374,37.15507348659766,2085379
2011-07-19,36.95323181152344,37.12143036306478,36.53273543267009,36.56637377417504,2972184
2011-07-20,36.71774673461914,37.15506336201228,36.61682944327641,36.885945261975074,4177419
2011-07-21,36.33089828491211,36.835493967683725,36.044959818805935,36.66729540675985,3008285
